instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,tempkelvin,atemp,hum,heatindex,windspeed,casual,registered,cnt,logcnt
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,281.35,0.2121,0.69,0.396,0.1343,8,76,84,4.443
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,281.35,0.197,0.51,0.324,0.2537,20,190,210,5.352
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,281.35,0.1818,0.47,0.308,0.2985,9,125,134,4.905
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,282.17,0.197,0.37,0.28,0.3284,16,47,63,4.159
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,281.35,0.197,0.4,0.28,0.2239,19,48,67,4.22
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,281.35,0.197,0.37,0.268,0.2537,9,50,59,4.094
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,281.35,0.1818,0.37,0.268,0.2836,9,64,73,4.304
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,281.35,0.197,0.4,0.28,0.2537,7,43,50,3.932
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,281.35,0.2121,0.37,0.268,0.1642,9,63,72,4.29
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,281.35,0.2121,0.37,0.268,0.1642,5,82,87,4.477
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,281.35,0.2576,0.37,0.268,0.0,9,178,187,5.236
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,281.35,0.2273,0.4,0.28,0.0896,7,116,123,4.82
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,279.71,0.197,0.55,0.316,0.0896,3,92,95,4.564
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,280.53,0.2121,0.47,0.296,0.1045,1,50,51,3.951
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,280.53,0.197,0.47,0.296,0.1343,0,39,39,3.689
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,280.53,0.197,0.43,0.28,0.1642,2,34,36,3.611
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,280.53,0.197,0.51,0.312,0.1642,1,14,15,2.773
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,280.53,0.197,0.51,0.312,0.1642,1,24,25,3.258
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,280.53,0.2121,0.55,0.328,0.0896,1,15,16,2.833
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,280.53,0.2424,0.55,0.328,0.0,3,13,16,2.833
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,280.53,0.197,0.55,0.328,0.1642,0,7,7,2.079
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,280.53,0.197,0.55,0.328,0.1642,0,1,1,0.693
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,279.71,0.1667,0.74,0.392,0.1642,0,5,5,1.792
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,279.71,0.1667,0.74,0.392,0.1642,0,2,2,1.099
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,279.71,0.1818,0.74,0.392,0.1045,1,8,9,2.303
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,279.71,0.1818,0.93,0.468,0.1045,0,15,15,2.773
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,279.71,0.1818,0.93,0.468,0.1045,0,20,20,3.045
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,280.53,0.197,0.8,0.428,0.1642,5,56,61,4.127
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,281.35,0.1818,0.69,0.396,0.3881,2,60,62,4.143
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,281.35,0.1818,0.59,0.356,0.3582,8,90,98,4.595
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,281.35,0.1818,0.44,0.296,0.3284,7,95,102,4.635
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,281.35,0.1667,0.32,0.248,0.4925,12,83,95,4.564
177,2011-01-08,1,0,1,15,0,6,0,1,0.2,281.35,0.1667,0.32,0.248,0.4478,5,69,74,4.317
178,2011-01-08,1,0,1,16,0,6,0,1,0.18,280.53,0.1364,0.29,0.224,0.4478,8,68,76,4.344
179,2011-01-08,1,0,1,17,0,6,0,1,0.16,279.71,0.1212,0.37,0.244,0.5522,5,64,69,4.248
180,2011-01-08,1,0,1,18,0,6,0,1,0.14,278.89,0.1212,0.39,0.24,0.2985,3,52,55,4.025
181,2011-01-08,1,0,1,19,0,6,0,1,0.14,278.89,0.1212,0.36,0.228,0.2537,4,26,30,3.434
182,2011-01-08,1,0,1,20,0,6,0,1,0.12,278.07,0.1212,0.36,0.216,0.2537,0,28,28,3.367
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,278.07,0.1061,0.39,0.228,0.3582,2,35,37,3.638
184,2011-01-08,1,0,1,22,0,6,0,1,0.12,278.07,0.1061,0.36,0.216,0.3881,1,33,34,3.555
185,2011-01-08,1,0,1,23,0,6,0,1,0.1,277.25,0.0606,0.39,0.216,0.4478,0,22,22,3.135
186,2011-01-09,1,0,1,0,0,0,0,1,0.1,277.25,0.0758,0.42,0.228,0.3881,1,24,25,3.258
187,2011-01-09,1,0,1,1,0,0,0,1,0.1,277.25,0.0606,0.42,0.228,0.4627,0,12,12,2.565
188,2011-01-09,1,0,1,2,0,0,0,1,0.1,277.25,0.0606,0.46,0.244,0.4627,0,11,11,2.485
189,2011-01-09,1,0,1,3,0,0,0,1,0.1,277.25,0.0758,0.46,0.244,0.4179,0,4,4,1.609
190,2011-01-09,1,0,1,4,0,0,0,1,0.08,276.43,0.0909,0.53,0.26,0.194,0,1,1,0.693
191,2011-01-09,1,0,1,5,0,0,0,1,0.08,276.43,0.0909,0.53,0.26,0.194,0,1,1,0.693
192,2011-01-09,1,0,1,6,0,0,0,1,0.1,277.25,0.0909,0.49,0.256,0.2836,0,1,1,0.693
193,2011-01-09,1,0,1,7,0,0,0,1,0.08,276.43,0.0909,0.53,0.26,0.194,1,5,6,1.946
194,2011-01-09,1,0,1,8,0,0,0,1,0.1,277.25,0.0909,0.49,0.256,0.2836,0,10,10,2.398
195,2011-01-09,1,0,1,9,0,0,0,1,0.12,278.07,0.0758,0.46,0.256,0.5224,0,19,19,2.996
196,2011-01-09,1,0,1,10,0,0,0,1,0.14,278.89,0.1061,0.43,0.256,0.3881,0,49,49,3.912
197,2011-01-09,1,0,1,11,0,0,0,1,0.16,279.71,0.1212,0.4,0.256,0.5224,2,47,49,3.912
198,2011-01-09,1,0,1,12,0,0,0,1,0.18,280.53,0.1364,0.37,0.256,0.4478,4,79,83,4.431
199,2011-01-09,1,0,1,13,0,0,0,1,0.2,281.35,0.1667,0.34,0.256,0.4478,6,69,75,4.331
200,2011-01-09,1,0,1,14,0,0,0,1,0.22,282.17,0.1818,0.32,0.26,0.4627,8,64,72,4.29
201,2011-01-09,1,0,1,15,0,0,0,1,0.22,282.17,0.197,0.35,0.272,0.3582,5,77,82,4.419
202,2011-01-09,1,0,1,16,0,0,0,1,0.2,281.35,0.1667,0.34,0.256,0.4478,13,79,92,4.533
203,2011-01-09,1,0,1,17,0,0,0,1,0.18,280.53,0.1515,0.37,0.256,0.3881,3,59,62,4.143
204,2011-01-09,1,0,1,18,0,0,0,1,0.16,279.71,,0.4,0.256,0.3284,4,44,48,3.892
205,2011-01-09,1,0,1,19,0,0,0,1,0.16,279.71,0.1364,0.43,0.268,0.3284,1,40,41,3.738
206,2011-01-09,1,0,1,20,0,0,0,1,0.14,278.89,0.1212,0.46,0.268,0.2537,0,38,38,3.664
207,2011-01-09,1,0,1,21,0,0,0,1,0.14,278.89,0.1061,0.46,0.268,0.4179,1,19,20,3.045
208,2011-01-09,1,0,1,22,0,0,0,1,0.14,278.89,0.1212,0.46,0.268,0.2985,5,10,15,2.773
209,2011-01-09,1,0,1,23,0,0,0,1,0.12,278.07,0.1364,0.5,0.272,0.194,0,6,6,1.946
210,2011-01-10,1,0,1,0,0,1,1,1,0.12,278.07,0.1212,0.5,0.272,0.2836,2,3,5,1.792
211,2011-01-10,1,0,1,1,0,1,1,1,0.12,278.07,0.1212,0.5,0.272,0.2836,1,0,1,0.693
212,2011-01-10,1,0,1,2,0,1,1,1,0.12,278.07,0.1212,0.5,0.272,0.2239,0,3,3,1.386
213,2011-01-10,1,0,1,3,0,1,1,1,0.12,278.07,0.1212,0.5,0.272,0.2239,0,1,1,0.693
214,2011-01-10,1,0,1,4,0,1,1,1,0.1,277.25,0.1212,0.54,0.276,0.1343,1,2,3,1.386
215,2011-01-10,1,0,1,5,0,1,1,1,0.1,277.25,0.1061,0.54,0.276,0.2537,0,3,3,1.386
216,2011-01-10,1,0,1,6,0,1,1,1,0.12,278.07,0.1212,0.5,0.272,0.2836,0,31,31,3.466
217,2011-01-10,1,0,1,7,0,1,1,1,0.12,278.07,0.1212,0.5,0.272,0.2239,2,75,77,4.357
218,2011-01-10,1,0,1,8,0,1,1,2,0.12,278.07,0.1212,0.5,0.272,0.2836,4,184,188,5.242
219,2011-01-10,1,0,1,9,0,1,1,2,0.14,278.89,0.1212,0.5,0.284,0.2537,2,92,94,4.554
220,2011-01-10,1,0,1,10,0,1,1,2,0.14,278.89,0.1212,0.5,0.284,0.2985,0,31,31,3.466
221,2011-01-10,1,0,1,11,0,1,1,2,0.16,279.71,0.1364,0.47,0.284,0.2836,2,28,30,3.434
222,2011-01-10,1,0,1,12,0,1,1,2,0.2,281.35,0.1818,0.4,0.28,0.2836,5,47,52,3.97
223,2011-01-10,1,0,1,13,0,1,1,2,0.2,281.35,,0.4,0.28,0.2836,4,50,54,4.007
224,2011-01-10,1,0,1,14,0,1,1,2,0.2,281.35,0.197,0.4,0.28,0.2239,0,47,47,3.871
225,2011-01-10,1,0,1,15,0,1,1,2,0.2,281.35,0.197,0.4,0.28,0.2239,2,43,45,3.829
226,2011-01-10,1,0,1,16,0,1,1,1,0.2,281.35,0.2121,0.4,0.28,0.1343,4,70,74,4.317
227,2011-01-10,1,0,1,17,0,1,1,1,0.2,281.35,0.2273,0.4,0.28,0.1045,4,174,178,5.187
228,2011-01-10,1,0,1,18,0,1,1,1,0.2,281.35,0.197,0.4,0.28,0.2239,1,154,155,5.05
